id,sentiment_negative,sentiment_neutral,sentiment_positive,topic_id,topic_probability,predicted_behavior,source,score,engagement,keyword_count
1596,0.008650804869830608,0.06684249639511108,0.9245067238807678,0,1.0,purchase_intent,youtube,7,0,1
1597,0.003989037591964006,0.016482746228575706,0.9795281887054443,0,0.802013601840208,purchase_intent,youtube,0,0,1
1607,0.005127893760800362,0.019880319014191628,0.9749917984008789,24,0.7997469513209039,purchase_intent,youtube,0,0,1
1610,0.008904838934540749,0.02558896504342556,0.9655061364173889,0,0.8328538786879658,purchase_intent,youtube,0,0,1
1630,0.035814639180898666,0.07154809683561325,0.892637312412262,0,1.0,purchase_intent,youtube,0,0,1
1645,0.01589246466755867,0.04377274960279465,0.9403347969055176,-1,0.0,purchase_intent,youtube,0,0,2
1648,0.4974631071090698,0.4107522666454315,0.09178471565246582,13,1.0,passive_browsing,youtube,0,0,1
1651,0.019095297902822495,0.6979026794433594,0.2830020785331726,0,0.3795728374351455,passive_browsing,youtube,0,0,1
1656,0.11474577337503433,0.567644476890564,0.3176097869873047,-1,0.0,passive_browsing,youtube,0,0,2
1668,0.0032615866512060165,0.00899509247392416,0.9877433776855469,0,0.7502870568278271,purchase_intent,youtube,0,0,1
1677,0.006851143669337034,0.017903128638863564,0.9752457141876221,0,1.0,purchase_intent,youtube,2,0,1
1697,0.011805149726569653,0.5895599126815796,0.3986349105834961,-1,0.0,passive_browsing,youtube,0,0,1
1705,0.006205365527421236,0.8414520621299744,0.1523425430059433,0,1.0,passive_browsing,youtube,1,0,1
1761,0.0062799276784062386,0.04170074686408043,0.9520193338394165,-1,0.0,purchase_intent,youtube,5,0,1
1763,0.014411958865821362,0.169538214802742,0.8160498142242432,11,1.0,purchase_intent,youtube,0,0,1
1768,0.002810155972838402,0.009619113989174366,0.9875707030296326,0,1.0,purchase_intent,youtube,0,0,1
1769,0.003550469409674406,0.014180812053382397,0.9822686910629272,0,0.7466996473936396,purchase_intent,youtube,1,0,3
1777,0.03499022498726845,0.7535482048988342,0.21146155893802643,-1,0.0,passive_browsing,youtube,2,0,2
1778,0.14735694229602814,0.35944682359695435,0.4931962788105011,22,0.7706830786934231,passive_browsing,youtube,0,0,2
1780,0.1530063897371292,0.5991490483283997,0.2478446364402771,-1,0.0,passive_browsing,youtube,0,0,2
1781,0.2212563455104828,0.5015193223953247,0.2772243618965149,-1,0.0,passive_browsing,youtube,0,0,1
1782,0.009549269452691078,0.163020059466362,0.8274306654930115,-1,0.0,purchase_intent,youtube,0,0,1
1786,0.019644271582365036,0.6687873601913452,0.31156837940216064,0,0.8412238816403671,passive_browsing,youtube,0,0,1
1791,0.0030602584592998028,0.013736541382968426,0.9832031726837158,0,1.0,purchase_intent,youtube,0,0,1
1793,0.042948685586452484,0.2428320199251175,0.7142192721366882,38,1.0,purchase_intent,youtube,0,1,2
1796,0.1819150447845459,0.48521366715431213,0.3328712582588196,12,0.5048331476144344,passive_browsing,youtube,0,0,3
